household,species,height_m,diam_cm,year,id,cole_ewel,TFTF,Chave_General,calculations,species_specific
1,A,0.18,7.800000000000001,2019,1,0.0036709228024735196,0.0015302429225508114,0.0013262435341009143,0.0013262435341009143,0.002062688947382609
1,A,1.1400000000000001,2.5,2019,2,0.0035395225540124997,9.955969047387076e-4,8.71819707399973e-4,8.71819707399973e-4,0.001537258070338659
1,A,1.6,0.6000000000000001,2019,3,0.0033146152759896,8.048614977256077e-5,7.486537321783765e-5,7.486537321783765e-5,2.751508825645219e-4
1,A,1.23,2.5,2019,4,0.0035588400595687503,0.0010741966603759737,9.389337192355451e-4,9.389337192355451e-4,0.0016192688432960785
1,A,1.1,15,2019,5,0.011794536595050002,0.034583892480397206,0.02781237321333055,0.02781237321333055,0.017403931710976192
1,A,1.33,8.5,2019,6,0.0065948650883692495,0.01342728358857603,0.011046217614302757,0.011046217614302757,0.009111744730969215
1,A,1.05,2.5,2019,7,0.0035202050484562496,9.16997149101441e-4,8.04578277354753e-4,8.04578277354753e-4,0.0014531730799126968
1,C,0.58,0.82,2019,8,0.003308227346081143,5.449471271198005e-5,5.116571079306326e-5,5.116571079306326e-5,1.25764007469168e-4
1,C,0.25,0.58,2019,9,0.00329772233201961,1.1751536798389511e-5,1.1447470737612528e-5,1.1447470737612528e-5,5.9496067176884485e-5
1,C,0.19,0.47000000000000003,2019,10,0.0032962755281234686,5.864729500180812e-6,5.809077671826425e-6,5.809077671826425e-6,4.238549546145299e-5
1,C,0.18,0.29,2019,11,0.003295354023009529,2.1152766237101117e-6,2.147115993963018e-6,2.147115993963018e-6,2.5771263656983888e-5
1,C,1.27,0.73,2019,12,0.0033180763891673343,9.456885052347739e-5,8.76248534747547e-5,8.76248534747547e-5,1.6457223790449643e-4
1,C,0.75,3.7,2019,13,0.0036474430183867502,0.001434707539565569,0.0012453694520099983,0.0012453694520099983,6.20260214844551e-4
1,C,6.75,2.2,2019,14,0.004416794873007001,0.0045650738074124305,0.0038540576387730875,0.0038540576387730875,0.001091022369689022
1,C,0.22,0.9500000000000001,2019,15,0.0033016528004834547,2.774396707871864e-5,2.6474615666729516e-5,2.6474615666729516e-5,9.047133784721439e-5
1,C,0.75,3.63,2019,16,0.003634227268918867,0.00138093482674226,0.0011997925897463165,0.0011997925897463165,6.088069023564174e-4
1,C,2,1.56,2019,17,0.00346198466237712,6.801079655781384e-4,6.010258369620716e-4,6.010258369620716e-4,4.3092710370668295e-4
1,C,2,1.69,2019,18,0.00349100384850162,7.98182265157676e-4,7.026657306803644e-4,7.026657306803644e-4,4.659342906600227e-4
1,C,3,1.22,2019,19,0.00344817908507292,6.239353402160387e-4,5.525268459943566e-4,5.525268459943566e-4,4.1317846269524545e-4
1,C,3.25,2.15,2019,20,0.0038107617959173127,0.002099224806947746,0.0018056213622132116,0.0018056213622132116,7.468297908145253e-4
1,C,3.25,2.89,2019,21,0.004227030859647833,0.003792955221224072,0.003216469218116695,0.003216469218116695,9.967179951827904e-4
1,C,8.5,7.290000000000001,2019,22,0.01880807379433769,0.0631208228004992,0.050034049850165595,0.050034049850165595,0.003930006860211266
1,C,1.76,1.1500000000000001,2019,23,0.00337476912973596,3.2524229550453556e-4,2.925574744995413e-4,2.925574744995413e-4,3.00673308014661e-4
1,C,1.79,1.82,2019,24,0.0034984559754983914,8.28503745289702e-4,7.287063562307637e-4,7.287063562307637e-4,4.744876867539964e-4
1,C,4.5,3.2200000000000006,2019,25,0.00489716714717538,0.006519629650795464,0.005457311266100723,0.005457311266100723,0.0012982204247785876
1,C,7.25,4.44,2019,26,0.00820314959406756,0.01997112895075272,0.01627384226358698,0.01627384226358698,0.002241586529587684
1,C,3.95,2.91,2019,27,0.00444354730010174,0.004673925036999367,0.003943724150520737,0.003943724150520737,0.0011036383775993364
1,C,1.62,1.4000000000000001,2019,28,0.0034038776056639197,4.436799006212413e-4,3.961295403203744e-4,3.961295403203744e-4,3.4986009143069777e-4
1,C,1.4000000000000001,0.9199999999999999,2019,29,0.003335528321649216,1.6557789589321807e-4,1.5137126905426105e-4,1.5137126905426105e-4,2.162919335386059e-4
1,C,2.6,1.3,2019,30,0.0034457339181474,6.139863578135972e-4,5.439263038544614e-4,5.439263038544614e-4,4.099507753555629e-4
1,C,2,7.13,2019,31,0.00678653938838898,0.014207174817266296,0.011671984124453024,0.011671984124453024,0.0018984431243783744
1,C,7.25,6.73,2019,32,0.014571913961345153,0.04588458457377383,0.03665084145527184,0.03665084145527184,0.0033636926448007403
1,C,6.95,6.8500000000000005,2019,33,0.014494226681000139,0.045568487796503,0.0364043947498087,0.0364043947498087,0.003352366856519551
1,C,3.25,4.19,2019,34,0.005254310048455133,0.007972785426339717,0.006641536798873488,0.006641536798873488,0.0014321372071418959
1,C,3,3.1,2019,35,0.004284920701743,0.004028499475595359,0.0034112772750449676,0.0034112772750449676,0.001026451641349762
1,C,6.75,6.4,2019,36,0.012789774481308002,0.038633351890829164,0.030986494095556618,0.030986494095556618,0.0030929152638875064
1,C,7.95,8.99,2019,37,0.02536039807903442,0.08978115356285594,0.07056768751961383,0.07056768751961383,0.004667110911091503
1,C,8,6.23,2019,38,0.013958207112492722,0.04338751225704755,0.034702850118427775,0.034702850118427775,0.003273100444399309
1,C,7.5,5.53,2019,39,0.011171456892501675,0.03204868356223572,0.02582069332297313,0.02582069332297313,0.0028234094633657293
1,C,1.54,1.5,2019,40,0.0034138299845265,4.841744947255606e-4,4.313790119252766e-4,4.313790119252766e-4,3.6509131579462705e-4
1,C,1.5,0.78,2019,41,0.0033261748713144597,1.2752024354590095e-4,1.1731198500535768e-4,1.1731198500535768e-4,1.9041498860587947e-4
